"id/Integer/typetag/csvparameters.charset=utf-8/typetag/csvparameters.profile=EXCEL_NORTH_EUROPE_PREFERENCE/set/readOnly=true/set/allowNull=false/set/automatic=true/set/order=0";"extinca/Integer/set/order=10";"area/Integer/set/order=20";"finalmeters/Integer/set/order=30";"revisiondate/String/set/size=2147483647/set/order=40";"status/String/set/size=2147483647/set/order=50";"initialmeters/Integer/set/order=60";"version/Integer/set/order=70";"roadelementtype/String/set/size=2147483647/set/order=80";"auditcreatedby/Integer/set/order=90";"auditlastupdatedby/Integer/set/order=100";"urbantextreference/String/set/size=2147483647/set/order=110";"reserveareanumber/Integer/set/order=120";"reservelongitude/Double/set/locale=en/set/order=130";"urbanroadtype/Long/set/order=140";"urbanroads/Long/set/order=150";"urbansection/Long/set/order=160";"urbanstretches/Long/set/order=170";"extid/Long/set/order=180";"thrudate/String/set/size=30/set/order=190";"auditcreation/String/set/size=30/set/order=200";"fromdate/String/set/size=30/set/order=210";"auditlastupdate/String/set/size=30/set/order=220";"reservemodel/Long/set/order=230";"reservenumberplate/String/set/size=100/set/order=240";"reservecarparktype/String/set/size=20/set/order=250";"reserveownership/String/set/size=20/set/order=260";"reservetype/String/set/size=20/set/order=270";"reservetimetable/String/set/size=200/set/order=280";"notes/String/set/size=250/set/order=290";"id0/Long/set/readOnly=true/set/pk=true/set/automatic=true/set/order=300"
;"125769";"472438";"0";"2004-03-14 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"2";"0";"4.01";"486409";"529";"485372";;;"2024-03-14 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2004-03-14 00:00:00.000000";"472417";;"LINE";;;;;
;"125771";"472438";"0";"2004-09-04 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"1";"0";"3.92";"486409";"2720";"485372";;;"2024-09-04 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2004-09-04 00:00:00.000000";"472417";;"LINE";;;;;
;"124906";"472438";"0";"2007-10-28 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"S/N";"0";"6.01";;;"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-10-28 00:00:00.000000";"472416";"V.3125";"LINE";;;;;
;"124907";"472438";"0";"2007-10-28 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"S/N";"0";"7.09";;;"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-10-28 00:00:00.000000";"472416";"V.3126";"LINE";;;;;
;"124910";"472438";"0";"2005-03-29 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"S/N";"0";"7.33";"486406";"5563";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-03-29 00:00:00.000000";"472416";"V. 445";"LINE";;;;;
;"124911";"472438";"0";"2005-03-29 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"S/N";"0";"5";"486406";"5563";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-03-29 00:00:00.000000";"472417";;"LINE";;;;;
;"125780";"472438";"0";"2007-05-23 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"21";"0";"3.01";"486406";"1905";"485372";;;"2027-05-23 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-05-23 00:00:00.000000";"472417";;"LINE";;;;;
;"125783";"472438";"0";"2005-05-06 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"18";"0";"3.02";"486409";"3375";"485372";;;"2025-05-06 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-05-06 00:00:00.000000";"472417";;"LINE";;;;;
;"125784";"472438";"0";"2005-02-14 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"47";"0";"2.5";"486409";"1810";"485372";;;"2025-02-14 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-02-14 00:00:00.000000";"472417";;"LINE";;;;;
;"125785";"472438";"0";"2007-06-07 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"27";"0";"3.1";"486409";"5485";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-06-07 00:00:00.000000";"472416";"V. 2908";"LINE";;;;;
;"125786";"472438";"0";"2007-09-03 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"35";"0";"5.02";"486409";"4525";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-09-03 00:00:00.000000";"472416";"V. 3546";"LINE";;;;;
;"125787";"472438";"0";"2007-09-03 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"37";"0";"10.7";"486409";"4525";"485372";;;"2012-01-01 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-09-03 00:00:00.000000";"472417";;"LINE";;;;;
;"125835";"472438";"0";"2007-03-23 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"2 AC";"0";"6.2";"486409";"2038";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-03-23 00:00:00.000000";"472416";"V. 3632";"LINE";;;;;
;"124960";"472438";"0";"2005-01-09 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"5";"0";"3.06";"486409";"6005";"485372";;;"2025-01-09 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-01-09 00:00:00.000000";"472417";;"LINE";;;;;
;"125936";"472438";"0";"2004-04-28 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"11";"0";"3.02";"486409";"5270";"485372";;;"2024-04-28 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2004-04-28 00:00:00.000000";"472416";"V.521";"LINE";;;;;
;"125018";"472438";"0";"2003-05-19 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"20";"0";"5.62";"486409";"4964";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-05-19 00:00:00.000000";"472416";;"LINE";;;;;
;"124988";"472438";"0";"2003-05-07 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"12";"0";"3.9";"486409";;"485372";;;"2011-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-05-07 00:00:00.000000";"472417";;"LINE";;;;"Calle: GENERAL MILLAN ASTRAY";
;"125987";"472438";"0";"2005-04-25 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"13";"0";"3";"486409";"2064";"485372";;;"2025-04-25 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-04-25 00:00:00.000000";"472417";;"LINE";;;;;
;"125017";"472438";"0";"2003-05-19 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"20";"0";"3";"486409";"4964";"485372";;;"2023-05-19 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-05-19 00:00:00.000000";"472416";"V.2670";"LINE";;;;;
;"126013";"472438";"0";"2005-04-27 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"15";"10";"10.4";"486409";"6175";"485372";;;"2017-02-06 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-04-27 00:00:00.000000";"472423";;"BATTERY";;;;"Parte: V=2432 , H= 53";
;"126014";"472438";"0";"2005-04-25 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"13";"12";"11.9";"486409";"2064";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-04-25 00:00:00.000000";"472423";;"BATTERY";;;;"Titular: ZONA SAN BLAS";
;"125026";"472438";"0";"2003-05-22 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"44";"0";"3.68";"486409";"3515";"485372";;;"2023-05-22 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-05-22 00:00:00.000000";"472416";"V.2721";"LINE";;;;;
;"126015";"472438";"0";"2005-08-02 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"28";"9";"9.72";"486409";"3840";"485372";;;"2017-02-06 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-08-02 00:00:00.000000";"472423";;"BATTERY";;;;"Parte: V=2430 , H=54";
;"125070";"472438";"0";"2003-05-14 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"3";"0";"12";"486419";"2545";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-05-14 00:00:00.000000";"472417";;"LINE";;;;;
;"125071";"472438";"0";"2003-05-20 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"4";"0";"11.98";"486409";"4505";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-05-20 00:00:00.000000";"472416";"V.A.391";"LINE";;;;;
;"126147";"472438";"0";"2007-05-14 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"24";"26";"24.53";"486406";"210";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-05-14 00:00:00.000000";"472423";;"BATTERY";;;;;
;"126148";"472438";"0";"2005-04-27 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"21";"6";"6.1";"486409";"1430";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-04-27 00:00:00.000000";"472423";;"BATTERY";;;;"Titular: ZONA SAN BLAS";
;"125088";"472438";"0";"2007-10-22 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"18";"0";"3.6";"486409";"1055";"485372";;;"2027-10-22 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-10-22 00:00:00.000000";"472417";;"LINE";;;;;
;"126155";"472438";"0";"2007-10-16 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"1";"0";"4.38";"486409";"3375";"485372";;;"2027-10-16 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-10-16 00:00:00.000000";"472417";;"LINE";;;;;
;"126160";"472438";"0";"2003-08-07 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"23";"0";"6.47";"486406";"210";"485372";;;"2023-08-07 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-08-07 00:00:00.000000";"472416";"V.A.215";"LINE";;;;;
;"126161";"472438";"0";"2003-08-07 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"23";"0";"4.9";"486406";"210";"485372";;;"2014-07-01 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-08-07 00:00:00.000000";"472416";;"LINE";;;;;
;"126162";"472438";"0";"2003-08-07 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"21";"0";"5.53";"486406";"210";"485372";;;"2023-08-07 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-08-07 00:00:00.000000";"472416";"V.A.214";"LINE";;;;;
;"126163";"472438";"0";"2003-08-07 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"21";"0";"4.9";"486406";"210";"485372";;;"2014-07-01 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-08-07 00:00:00.000000";"472416";;"LINE";;;;;
;"126172";"472438";"0";"2003-08-07 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"1";"0";"5.91";"486409";"4525";"485372";;;"2023-08-07 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-08-07 00:00:00.000000";"472417";;"LINE";;;;;
;"126174";"472438";"0";"2007-05-16 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"7";"0";"9";"486409";"4860";"485372";;;"2010-09-10 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-05-16 00:00:00.000000";"472417";;"LINE";;;;;
;"126175";"472438";"0";"2007-02-12 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"1";"0";"7.93";"486409";"3375";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-02-12 00:00:00.000000";"472417";;"LINE";;;;;
;"126179";"472438";"0";"2005-04-27 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"21";"6";"5.8";"486409";"1430";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-04-27 00:00:00.000000";"472423";;"BATTERY";;;;"Titular: ZONA SAN BLAS";
;"124939";"472438";"0";"2004-03-23 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"S/N";"0";"4.24";"486409";"4552";"485372";;;"2024-03-23 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2004-03-23 00:00:00.000000";"472417";;"LINE";;;;;
;"126232";"472438";"0";"2004-06-20 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"12";"0";"5.52";"486406";"2021";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2004-06-20 00:00:00.000000";"472416";"V.3050";"LINE";;;;;
;"126240";"472438";"0";"2004-08-05 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"4";"0";"2.62";"486409";"3280";"485372";;;"2024-08-05 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2004-08-05 00:00:00.000000";"472417";;"LINE";;;;;
;"126260";"472438";"0";"2003-05-16 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"S/N";"0";"3.16";"486409";"2020";"485372";;;"2023-05-16 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-05-16 00:00:00.000000";"472417";;"LINE";;;;;
;"126267";"472438";"0";"2006-01-30 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"26";"0";"4.55";"486406";"2385";"485372";;;"2026-01-30 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2006-01-30 00:00:00.000000";"472416";"V.1807";"LINE";;;;;
;"126268";"472438";"0";"2006-01-30 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"26";"0";"2.97";"486406";"2385";"485372";;;"2026-01-30 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2006-01-30 00:00:00.000000";"472416";"V.566";"LINE";;;;;
;"126270";"472438";"0";"2006-01-27 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"S/N";"0";"2.63";"486412";"0";"485372";;;"2026-01-27 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2006-01-27 00:00:00.000000";"472417";;"LINE";;;;;
;"126271";"472438";"0";"2003-05-16 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"S/N";"0";"6";"486409";"2020";"485372";;;"2012-01-01 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-05-16 00:00:00.000000";"472417";;"LINE";;;;;
;"126272";"472438";"0";"2003-10-24 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"6";"0";"5.1";"486406";"2430";"485372";;;"2012-01-01 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-10-24 00:00:00.000000";"472417";;"LINE";;;;;
;"126273";"472438";"0";"2004-07-27 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"1";"0";"4.7";"486409";"4400";"485372";;;"2012-01-01 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2004-07-27 00:00:00.000000";"472417";;"LINE";;;;;
;"126274";"472438";"0";"2004-08-04 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"2";"0";"6.4";"486409";"3285";"485372";;;"2012-01-01 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2004-08-04 00:00:00.000000";"472417";;"LINE";;;;;
;"126275";"472438";"0";"2004-08-05 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"4";"0";"5.9";"486409";"3280";"485372";;;"2012-01-01 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2004-08-05 00:00:00.000000";"472417";;"LINE";;;;;
;"126276";"472438";"0";"2006-02-01 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"14";"0";"5.61";"486406";"2385";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2006-02-01 00:00:00.000000";"472416";"V. 1772";"LINE";;;;;
;"126277";"472438";"0";"2006-02-01 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"16";"0";"5.32";"486406";"2385";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2006-02-01 00:00:00.000000";"472416";"V. 1762";"LINE";;;;;
;"126278";"472438";"0";"2006-02-06 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"26";"0";"5.98";"486406";"2385";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2006-02-06 00:00:00.000000";"472416";"V. 1807";"LINE";;;;;
;"126291";"472438";"0";"2007-09-10 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"S/N";"0";"6.45";"486409";"61";"485372";;;"2027-09-10 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-09-10 00:00:00.000000";"472416";"V.1165";"LINE";;;;;
;"126292";"472438";"0";"2007-09-10 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"3";"0";"6.36";"486406";"3457";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-09-10 00:00:00.000000";"472416";;"LINE";;;;;
;"126298";"472438";"0";"2006-01-22 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"92";"0";"6.9";"486406";"1819";"485372";;;"2026-01-22 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2006-01-22 00:00:00.000000";"472417";;"LINE";;;;;
;"124989";"472438";"0";"2003-05-07 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"18";"0";"4.96";"486409";;"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-05-07 00:00:00.000000";"472416";"V.2228";"LINE";;;;"Calle: GENERAL MILLAN ASTRAY";
;"126320";"472438";"0";"2007-09-10 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"S/N";"0";"3.15";"486409";"61";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-09-10 00:00:00.000000";"472417";;"LINE";;;;;
;"126321";"472438";"0";"2007-09-10 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"S/N";"0";"5.97";"486409";"61";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-09-10 00:00:00.000000";"472416";"V.0397";"LINE";;;;;
;"125027";"472438";"0";"2003-05-22 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"44";"0";"4.87";"486409";"3515";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-05-22 00:00:00.000000";"472416";;"LINE";;;;;
;"126416";"472438";"0";"2005-01-20 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"S/N";"0";"2.57";"486409";"4145";"485372";;;"2025-01-20 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-01-20 00:00:00.000000";"472417";;"LINE";;;;;
;"126419";"472438";"0";"2003-04-29 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"35";"0";"3.03";"486409";"4252";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-04-29 00:00:00.000000";"472417";;"LINE";;;;;
;"126431";"472438";"0";"2005-04-28 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"42";"10";"15.33";"486409";"3385";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-04-28 00:00:00.000000";"472423";;"LINE";;;;;
;"126469";"472438";"0";"2005-11-02 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"9";"0";"3";"486409";"470";"485372";;;"2025-11-02 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-11-02 00:00:00.000000";"472416";"V.366";"LINE";;;;;
;"126470";"472438";"0";"2005-11-02 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"9";"0";"4.69";"486409";"470";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-11-02 00:00:00.000000";"472416";;"LINE";;;;;
;"126498";"472438";"0";"2005-11-02 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"10";"0";"3.06";"486409";"470";"485372";;;"2025-11-02 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-11-02 00:00:00.000000";"472417";;"LINE";;;;;
;"126499";"472438";"0";"2003-07-21 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"5";"0";"3";"486409";"470";"485372";;;"2023-07-21 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-07-21 00:00:00.000000";"472417";;"LINE";;;;;
;"126514";"472438";"0";"2003-01-16 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"20B";"0";"3.35";"486409";"3390";"485372";;;"2023-01-16 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-01-16 00:00:00.000000";"472417";;"LINE";;;;;
;"126515";"472438";"0";"2005-01-20 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"39";"0";"7.9";"486409";"3390";"485372";;;"2012-01-01 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-01-20 00:00:00.000000";"472417";;"LINE";;;;;
;"126516";"472438";"0";"2003-07-20 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"18";"0";"3.01";"486409";"4815";"485372";;;"2023-07-20 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2003-07-20 00:00:00.000000";"472417";;"LINE";;;;;
